Billing Cycle,Enterprise Project,Enterprise Project ID,Account Name,Service Type Code,Service Type,Resource Type Code,Resource Type,Product ID,Billing Mode,Bill Type,Resource ID,Resource Name,Resource Tag,SKU Code,Resource Specifications,Region Code,Region,AZ,Usage Type Code,Usage Type,Unit Price (USD),Unit,Usage,Usage Unit,Package Usage,Usage Type in Reserved Instances,List Price (USD),Discount (USD),Amount (USD),Cash Payment (USD),Credit Payment (USD),Cash Coupon Used (USD),Arrears (USD),Written Off (USD)
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ec2","Elastic Cloud Server","hws.resource.type.vm","Cloud Host","00301-34922-0--0","Pay-per-Use","Expenditure-use","bc301d51-5c5c-493c-a174-64eec4ca1a44","VCS_POC_SANA","","s3.large.4.win","General Computing|s3.large.4|2vCPUs|8GB|windows","ap-southeast-2","AP-Bangkok",--,"Duration","Duration","0.13000000","Dollar/1Hour","115023","Second",--,"0","4.15360829","1.66144333","2.22","0.00","2.22","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-36685-0--0","Pay-per-Use","Expenditure-use","vgm-fos","","",--,"Object Storage Service","ap-southeast-2","AP-Bangkok",--,"get","Get_Standard Storage","0.00040000","Dollar/1,000PCS","0","PCS","315","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0","Pay-per-Use","Expenditure-use","sles-image","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"put","Put_Standard Storage","0.00010000","Dollar/1,000PCS","0","PCS","119","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ims","Image Management Service","hws.resource.type.ims","Image Management Service","00301-53121-0--0","Pay-per-Use","Expenditure-use","f481e002-0737-48ee-9d20-d9fbdd1bf70e","FortiOS","","private.image","private image|0.051708GB","ap-southeast-2","AP-Bangkok",--,"duration","Duration","0.00000000","Dollar/1Hour","2592000","Second",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0-ae9e","Pay-per-Use","Expenditure-use","hk-customer-dailybackup","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"upload_warm.internal","Upload_Infrequent Access Storage.internal","0.00000000","Dollar/1GB","2731237962577","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-06001-0--0","Pay-per-Use","Expenditure-use","5323157d62334e5b8636c95a9af3c2b5","Memory_Usage","",--,"SMN","ap-southeast-1","AP-Hong Kong",--,"email","Email","0.28810000","Dollar/1,000Number","355","Number",--,"0","0.10227550","0.04091020","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-34661-0--0","Pay-per-Use","Expenditure-use","86a6413f-dad0-4571-8ed6-845a6c1c991b","TCP_Mobile_EIP","","12_bgp","Dynamic BGP|traffic","ap-southeast-2","AP-Bangkok",--,"upflow","Upstream bandwidth","0.10800000","Dollar/1GB","125349880","Byte",--,"0","0.01260445","0.00441279","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ims","Image Management Service","hws.resource.type.ims","Image Management Service","00301-111036-0--0","Pay-per-Use","Expenditure-use","e1242ef5-415d-4ac5-abf2-ab7e494cc31f","KSH_RDS","","private.image","private image|12.326717GB","ap-southeast-1","AP-Hong Kong",--,"duration","Duration","0.00000000","Dollar/1Hour","2592000","Second",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.ip","Elastic IP Address","00301-34662-0--0","Pay-per-Use","Expenditure-use","5e04152a-8d66-4b70-b832-b69aa9391a1f","159.138.231.122","","5_bgp","Dynamic BGP Elastic IP","ap-southeast-2","AP-Bangkok",--,"duration","Duration","0.00500000","Dollar/1Hour","170340","Second",--,"0","0.23658332","0.08280417","0.13","0.00","0.13","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.ip","Elastic IP Address","00301-01072-0--0","Pay-per-Use","Expenditure-use","81030241-ea36-4ce8-b2ab-2afefe8287d3","159.138.31.71","","5_bgp","Dynamic BGP Elastic IP","ap-southeast-1","AP-Hong Kong",--,"duration","Duration","0.00900000","Dollar/1Hour","26","Second",--,"0","0.00006500","0.00002275","0.00","0.00","0.00","0.00","0.00","0.00"
